full_name,age,country,rating,club,foot,position,value,wage,reputation
S. Assís,27,Uruguay,69,Unión de Santa Fe,Right,CDM,1400000,6000,1
C. Diandy,29,Senegal,69,Sporting de Charleroi,Left,CDM,1200000,7000,1
Dankler,28,Brazil,69,Vissel Kobe,Right,CB,1300000,5000,1
D. Turnbull,20,Scotland,69,Celtic,Right,CAM,3300000,17000,1
Paulinho,23,Brazil,69,Boavista FC,Right,RM,3100000,4000,1
M. Kirkeskov,28,Denmark,69,Piast Gliwice,Left,LB,1300000,5000,1
M. Hartmann,32,Germany,69,SG Dynamo Dresden,Right,CB,900000,5000,1
J. Mombris,32,Madagascar,69,Grenoble Foot 38,Left,LB,975000,4000,1
J. Garro,27,Argentina,69,Club Atlético Huracán,Right,LM,1500000,8000,1
M. Sarkaria,23,Austria,69,FK Austria Wien,Left,CAM,2200000,8000,1
M. Odubajo,26,England,69,Sheffield Wednesday,Right,RWB,1500000,9000,1
Y. Al Shehri,30,Saudi Arabia,69,Al Nassr,Left,RM,1300000,17000,1
D. Cerén,30,El Salvador,69,Houston Dynamo,Right,CDM,1200000,4000,1
G. Rivas,31,Venezuela,69,DC United,Right,ST,1200000,5000,2
L. Heredia,24,Argentina,69,Atlético Tucumán,Right,ST,2200000,6000,1
Álvaro Vallés,22,Spain,69,UD Las Palmas,Right,GK,2400000,3000,1
Eric Curbelo,26,Spain,69,UD Las Palmas,Left,RB,1700000,5000,1
T. Chancalay,21,Argentina,69,Club Atlético Colón,Right,CAM,3100000,5000,1
Y. Vorogovskiy,23,Kazakhstan,69,Beerschot AC,Left,LWB,2000000,5000,1
M. Lovato,20,Italy,69,Hellas Verona,Right,CB,3200000,8000,1
P. Testroet,29,Germany,69,FC Erzgebirge Aue,Right,ST,1400000,6000,1
V. Mogoș,27,Romania,69,Chievo Verona,Right,RM,1500000,2000,1
V. Huerta,26,Chile,69,Universidad Católica,Left,CB,1600000,6000,1
F. Cordero,32,Chile,69,Unión La Calera,Left,LB,975000,2000,1
H. ter Avest,23,Netherlands,69,Udinese,Right,RWB,3100000,7000,1
S. Kaya,29,Turkey,69,Yeni Malatyaspor,Right,CB,1200000,7000,1
A. Rodríguez,36,Peru,69,Alianza Lima,Right,CB,250000,500,2
Oriol Rosell,27,Spain,69,Orlando City SC,Right,CDM,1400000,4000,1
E. Saavedra,24,Bolivia,69,Club Bolívar,Right,RB,2700000,500,1
B. Urribarri,33,Argentina,69,Patronato,Left,LB,725000,7000,1
Fábio Silva,17,Portugal,69,Wolverhampton Wanderers,Right,ST,3500000,7000,1
I. Jakobs,20,Germany,69,1. FC Köln,Left,LM,3400000,9000,1
B. Rodríguez,20,Uruguay,69,Los Angeles FC,Right,RM,3100000,4000,1
M. Constantin,35,Romania,69,Universitatea Craiova,Right,CB,375000,4000,1
Rober,19,Spain,69,UD Las Palmas,Left,LM,3300000,6000,1
C. Nelson,27,England,69,Cardiff City,Right,CB,1500000,12000,1
Ko Kwang Min,31,Korea Republic,69,FC Seoul,Right,LM,1200000,6000,1
A. Manchot,31,Argentina,69,SD Aucas,Right,CB,950000,500,1
A. Öztürk,26,Turkey,69,Göztepe SK,Right,CDM,1600000,11000,1
F. Cerro,32,Argentina,69,Central Córdoba,Right,CDM,1100000,6000,1
M. Riquelme,31,Argentina,69,Club Bolívar,Right,ST,1200000,700,1
M. Laínez,24,Mexico,69,Club Tijuana,Left,LM,2200000,9000,1
K. Kanatsızkuş,23,Turkey,69,Yeni Malatyaspor,Left,ST,2200000,7000,1
M. Corozo,27,Ecuador,69,LDU Quito,Right,ST,1600000,500,1
F. Renzetti,32,Italy,69,Chievo Verona,Left,LB,975000,2000,1
Rafael Lopes,28,Portugal,69,Legia Warszawa,Right,ST,1400000,7000,1
H. Pehlivan,26,Turkey,69,Gençlerbirliği SK,Left,LB,1500000,8000,1
K. Koizumi,25,Japan,69,Kashima Antlers,Right,RB,1700000,5000,1
S. Floranus,21,Netherlands,69,SC Heerenveen,Right,RB,3000000,3000,1
J. Meredith,32,Australia,69,Perth Glory,Left,LWB,975000,4000,1
Yohan Tavares,32,Portugal,69,CD Tondela,Right,CB,900000,4000,1
B. Balaj,29,Albania,69,SK Sturm Graz,Right,ST,1400000,12000,1
A. Ramúa,33,Argentina,69,Cusco FC,Right,CAM,875000,500,1
Edgar Costa,33,Portugal,69,Clube Sport Marítimo,Right,RM,875000,6000,1
C. Mahoney,23,England,69,Millwall,Left,RW,2800000,7000,1
A. Onaiwu,24,Japan,69,Yokohama F. Marinos,Right,ST,2000000,6000,1
R. Rep,30,Slovenia,69,TSV Hartberg,Left,CAM,1300000,5000,1
Dani Castellano,32,Spain,69,UD Las Palmas,Left,LB,975000,5000,1
C. Yambéré,29,Central African Republic,69,Ettifaq FC,Right,CB,1300000,13000,1
E. Bohinen,21,Norway,69,Stabæk Fotball,Left,CM,3100000,2000,1
O. Filippov,27,Ukraine,69,Sint-Truidense VV,Right,ST,1500000,8000,1
S. Michel,29,Germany,69,SC Paderborn 07,Left,ST,1400000,11000,1
H. Sakhi,24,Morocco,69,AJ Auxerre,Right,CAM,2800000,3000,1
J. Narváez,25,Colombia,69,Real Zaragoza,Right,ST,2100000,6000,1
A. Chalá,24,Ecuador,69,Dijon FCO,Left,LB,2700000,8000,1
Renê Santos,28,Brazil,69,Clube Sport Marítimo,Right,CB,1300000,5000,1
K. Lamprou,28,Greece,69,RKC Waalwijk,Left,GK,1000000,3000,1
V. Jacob,26,France,69,Chamois Niortais Football Club,Right,CAM,1800000,4000,1
C. Arboleda,28,Ecuador,69,SD Aucas,Left,LM,1400000,500,1
R. Improta,26,Italy,69,Benevento,Right,LM,1600000,9000,1
T. Peyre,27,France,69,KV Mechelen,Right,CB,1500000,7000,1
Francisco Varela,25,Spain,69,Os Belenenses,Left,LWB,1900000,3000,1
R. Laryea,25,Canada,69,Toronto FC,Right,RM,1900000,4000,1
R. Ogawa,23,Japan,69,FC Tokyo,Left,LWB,2100000,5000,1
D. Sinik,21,Turkey,69,Antalyaspor,Right,RM,3100000,7000,1
E. Smith Rowe,19,England,69,Arsenal,Right,CAM,3600000,18000,1
Jesús Imaz,29,Spain,69,Jagiellonia Białystok,Right,RW,1400000,6000,1
Felipe Pires,25,Brazil,69,Moreirense FC,Right,RM,1800000,7000,1
Abel Ruiz,20,Spain,69,SC Braga,Right,ST,3400000,6000,1
J. Henry,31,England,69,Oxford United,Right,RM,1200000,6000,1
E. Zhegrova,21,Kosovo,69,FC Basel 1893,Left,CAM,3100000,6000,1
Sergio Gómez,19,Spain,69,SD Huesca,Left,CAM,3600000,12000,1
T. Yonemoto,29,Japan,69,Nagoya Grampus,Right,CDM,1200000,3000,1
G. Robail,26,France,69,En Avant de Guingamp,Right,CAM,1600000,17000,1
Víctor Ruiz,26,Spain,69,FC St. Gallen,Right,CAM,1800000,8000,1
D. Rodríguez,31,Argentina,69,Elche CF,Left,GK,750000,6000,1
B. Beckeles,34,Honduras,69,Nashville SC,Right,RB,500000,4000,1
M. Wanitzek,27,Germany,69,Karlsruher SC,Right,RM,1600000,7000,1
D. Jovançiç,29,Serbia,69,Çaykur Rizespor,Right,CDM,1200000,7000,1
M. Lemos,24,Uruguay,69,Fenerbahçe SK,Right,CB,1800000,20000,1
S. Aigner,32,Germany,69,SV Wehen Wiesbaden,Right,RM,1100000,5000,2
J. Igbekeme,24,Nigeria,69,Real Zaragoza,Left,CDM,2100000,5000,1
P. Köpke,24,Germany,69,1. FC Nürnberg,Right,ST,2100000,6000,1
N. Backman,31,Sweden,69,Aarhus GF,Right,CB,950000,7000,1
J. Vanlerberghe,24,Belgium,69,KV Mechelen,Right,CDM,2000000,6000,1
J. Jacobson,33,Wales,69,Wycombe Wanderers,Left,LB,725000,7000,1
A. Traoré,30,Ivory Coast,69,Melbourne Victory,Left,LB,1200000,5000,1
J. Murillo,26,Colombia,69,Los Angeles FC,Right,CB,1600000,4000,1
O. Marciano,30,Israel,69,Hibernian,Right,GK,925000,3000,1
L. Vásquez,28,Colombia,69,Junior FC,Right,CDM,1200000,2000,1
D. Cavaré,25,France,69,FC Sion,Right,CB,1900000,13000,1
J. Kayembe,25,Belgium,69,Sporting de Charleroi,Left,LB,1700000,7000,1
L. Walsh,22,England,69,Bristol City,Right,CAM,3100000,17000,1
N. Dovedan,25,Austria,69,1. FC Nürnberg,Right,RW,1700000,6000,1
Rodrigão,24,Brazil,69,Gil Vicente FC,Right,CB,1800000,4000,1
J. Sargent,20,United States,69,SV Werder Bremen,Right,ST,3400000,10000,1
T. Elphick,32,England,69,Huddersfield Town,Right,CB,900000,12000,1
V. Hedenstad,29,Norway,69,Rosenborg BK,Right,RB,1200000,4000,1
A. Sané,27,Senegal,69,Al Taawoun,Right,ST,1500000,13000,1
C. Pickel,23,Switzerland,69,Grenoble Foot 38,Right,CDM,2900000,3000,1
Bellvís,35,Spain,69,AD Alcorcón,Left,LB,425000,4000,1
M. Smith,31,Northern Ireland,69,,Right,RB,0,0,1
R. Insigne,26,Italy,69,Benevento,Left,CAM,1700000,9000,1
M. Helik,24,Poland,69,Barnsley,Right,CB,2000000,6000,1
J. Föhrenbach,24,Germany,69,1. FC Heidenheim 1846,Left,CB,2100000,9000,1
K. Mizunuma,30,Japan,69,Yokohama F. Marinos,Right,RM,1300000,7000,1
Hélder Barbosa,33,Portugal,69,Hatayspor,Left,CF,875000,7000,1
Z. Tripić,27,Norway,69,Göztepe SK,Right,LW,1500000,13000,1
Z. Yavru,28,Turkey,69,Yeni Malatyaspor,Right,RB,1300000,7000,1
M. Gakpa,26,France,69,Paris FC,Left,CAM,1800000,5000,1
C. Valencia,35,Colombia,69,Junior FC,Right,ST,600000,2000,1
Guga Rodrigues,22,Portugal,69,Famalicão,Right,CAM,3100000,5000,1
Liu Binbin,27,China PR,69,Shandong Luneng TaiShan FC,Right,LM,1500000,9000,1
J. Eggestein,22,Germany,69,LASK Linz,Right,ST,3200000,12000,1
C. Cándido,25,Uruguay,69,Liverpool Fútbol Club,Left,LB,1900000,600,1
A. Yusuf,19,Nigeria,69,IFK Göteborg,Right,CDM,3100000,1000,1
A. Niangbo,20,Ivory Coast,69,KAA Gent,Right,ST,3100000,9000,1
M. Kieftenbeld,30,Netherlands,69,Birmingham City,Right,CDM,1200000,8000,1
V. Berisha,26,Norway,69,Viking FK,Right,ST,1700000,3000,1
Gumbau,25,Spain,69,Girona FC,Left,CM,2000000,5000,1
K. Hoggas,28,France,69,KSV Cercle Brugge,Right,CM,1400000,7000,1
H. Abe,30,Japan,69,Nagoya Grampus,Right,RW,1300000,4000,1
Auro,24,Brazil,69,Toronto FC,Right,RWB,1900000,3000,1
K. Palmer,23,England,69,Swansea City,Right,CAM,2800000,17000,1
José Machín,23,Equatorial Guinea,69,AC Monza,Right,CAM,2800000,2000,1
M. Spielmann,24,Switzerland,69,BSC Young Boys,Right,RM,2200000,9000,1
H. Nakama,28,Japan,69,Kashiwa Reysol,Right,LM,1400000,6000,1
J. Moder,21,Poland,69,Lech Poznań,Right,CM,3400000,18000,1
S. Napoleoni,34,Italy,69,Göztepe SK,Left,CAM,650000,12000,1
D. Tadić,30,Austria,69,TSV Hartberg,Right,ST,1400000,5000,1
T. Lockyer,25,Wales,69,Luton Town,Right,CB,1800000,6000,1
T. Fosu,24,Ghana,69,Brentford,Right,LW,2100000,19000,1
T. Touré,26,Ivory Coast,69,Angers SCO,Right,LM,1600000,11000,1
E. López,25,Colombia,69,Argentinos Juniors,Right,ST,2100000,7000,1
T. Derijck,33,Belgium,69,KV Kortrijk,Right,CB,675000,7000,1
B. Akintola,24,Nigeria,69,Hatayspor,Right,RM,2100000,12000,1
D. Rubio,27,Chile,69,Colorado Rapids,Right,ST,1600000,5000,1
O. Mihálik,23,Czech Republic,69,Viktoria Plzeň,Right,ST,2100000,500,1
P. López,23,Uruguay,69,Deportivo Toluca,Right,CAM,1900000,9000,1
M. Fox,26,Wales,69,Stoke City,Left,LB,1500000,12000,1
G. Koomson,25,Ghana,69,Kasimpaşa SK,Right,RM,1700000,8000,1
A. Hanche-Olsen,23,Norway,69,KAA Gent,Right,CB,2900000,8000,1
T. Skarke,23,Germany,69,SV Darmstadt 98,Right,RM,2200000,9000,1
G. Lódico,22,Argentina,69,Club Atlético Lanús,Right,CAM,3100000,8000,1
D. Fagundez,25,Uruguay,69,New England Revolution,Right,RM,1900000,4000,1
D. Horgan,27,Republic of Ireland,69,Wycombe Wanderers,Right,RW,1500000,8000,1
Matheus Fernandes,22,Brazil,69,FC Barcelona,Right,CM,3100000,44000,1
H. Morita,25,Japan,69,Kawasaki Frontale,Right,CDM,1800000,6000,1
D. Contento,30,Germany,69,SV Sandhausen,Left,LB,1200000,4000,2
M. Munetsi,24,Zimbabwe,69,Stade de Reims,Right,CDM,2000000,9000,1
Y. Wakizaka,25,Japan,69,Kawasaki Frontale,Right,CAM,1800000,6000,1
J. Zavala,32,Mexico,69,FC Juárez,Right,CB,900000,6000,1
U. Demirok,31,Turkey,69,Atiker Konyaspor,Right,CB,950000,8000,1
G. Velázquez,29,Paraguay,69,FC Juárez,Right,CB,1200000,7000,1
R. Kruse,31,Australia,69,Melbourne Victory,Right,LM,1200000,5000,1
T. Přikryl,27,Czech Republic,69,Jagiellonia Białystok,Right,RM,1500000,5000,1
Kaíque Mutto,28,Brazil,69,Atlético Mineiro,Right,GK,1000000,12000,1
N. Barrios,22,Argentina,69,Central Córdoba,Right,CAM,3100000,9000,1
J. Vagnoman,19,Germany,69,Hamburger SV,Right,RB,3500000,4000,1
G. Sauro,30,Argentina,69,Deportivo Toluca,Right,CB,1100000,9000,1
D. Nishi,32,Japan,69,Vissel Kobe,Right,CDM,1100000,5000,1
R. Shindo,24,Japan,69,Hokkaido Consadole Sapporo,Right,CB,1800000,3000,1
M. Navarrete,28,Chile,69,Unión La Calera,Right,CB,1300000,2000,1
D. Chatziisaias,27,Greece,69,Çaykur Rizespor,Right,CB,1500000,7000,1
T. Iwata,23,Japan,69,Oita Trinita,Right,CB,2000000,2000,1
Marc Valiente,33,Spain,69,Real Sporting de Gijón,Right,CB,675000,5000,1
A. Ríos,31,Mexico,69,Deportivo Toluca,Right,CDM,975000,9000,1
J. Céspedes,36,Peru,69,Cusco FC,Left,LB,300000,500,1
I. Ljubić,23,Austria,69,SK Sturm Graz,Right,CM,2000000,8000,1
P. Carlgren,28,Sweden,69,Randers FC,Right,GK,1200000,6000,1
B. Zaynutdinov,22,Kazakhstan,69,PFC CSKA Moscow,Left,CAM,2200000,16000,1
R. van Rhijn,29,Netherlands,69,FC Emmen,Right,RB,1200000,4000,1
R. Pérez,30,Colombia,69,Club Atlético Talleres,Right,CB,1100000,7000,1
A. Baumjohann,33,Germany,69,Sydney FC,Right,CAM,875000,5000,2
Y. Ideguchi,23,Japan,69,Gamba Osaka,Right,CM,1900000,6000,1
T. Bunmathan,30,Thailand,69,Yokohama F. Marinos,Left,LB,1200000,6000,1
J. Jeanvier,27,Guinea,69,Kasimpaşa SK,Right,CB,1600000,7000,1
J. Tagueu,26,Cameroon,69,Clube Sport Marítimo,Left,ST,1700000,6000,1
A. Koselev,26,Moldova,69,Fortuna Sittard,Right,GK,1300000,5000,1
M. Tahrat,30,Algeria,69,Abha Club,Right,CB,1100000,6000,1
I. Sissoko,22,France,69,RC Strasbourg Alsace,Right,CDM,3100000,11000,1
Dalmau,26,Spain,69,FC Utrecht,Right,ST,1700000,9000,1
I. Govea,23,Mexico,69,Santos Laguna,Right,RB,2700000,6000,1
M. Sandberg,29,Sweden,69,Stabæk Fotball,Right,GK,1200000,2000,1
Oh Jae Suk,30,Korea Republic,69,Nagoya Grampus,Right,RB,1200000,3000,1
T. Beermann,29,Germany,69,VfL Osnabrück,Left,CB,1200000,7000,1
G. Courtet,31,France,69,AC Ajaccio,Right,ST,1200000,4000,1
Luíz Carlos,34,Brazil,69,FC Paços de Ferreira,Right,CDM,475000,5000,1
S. Živec,29,Slovenia,69,Zagłębie Lubin,Left,RM,1400000,5000,1
G. Shibasaki,28,Japan,69,CD Leganés,Right,CM,1400000,7000,1
M. Heller,34,Germany,69,SC Paderborn 07,Right,RM,650000,10000,2
T. Jaques,32,France,69,FC Chambly Oise,Right,CB,900000,3000,1
Fábio China,27,Portugal,69,Clube Sport Marítimo,Left,LB,1300000,5000,1
A. Guðmundsson,23,Iceland,69,AZ Alkmaar,Right,CAM,2800000,5000,1
L. Østigård,20,Norway,69,Coventry City,Right,CB,2900000,16000,1
Marcos André,23,Brazil,69,Real Valladolid CF,Right,ST,2800000,9000,1
Aitor Buñuel,22,Spain,69,UD Almería,Right,RWB,3000000,4000,1
J. Rojas,27,Ecuador,69,Delfín SC,Right,RW,1500000,500,1
L. Castro,28,Colombia,69,Independiente Medellín,Right,ST,1400000,3000,1
F. Monzón,33,Argentina,69,Atlético Tucumán,Left,LB,725000,6000,1
R. Dickie,24,England,69,Queens Park Rangers,Right,CB,2000000,4000,1
Matos,25,Spain,69,Málaga CF,Left,LWB,1700000,12000,1
P. Sandler,23,Netherlands,69,Manchester City,Right,CDM,2900000,34000,1
H. Dervişoğlu,20,Turkey,69,FC Twente,Right,CAM,3400000,16000,1
Nicolas,32,Brazil,69,Udinese,Right,GK,700000,6000,1
A. Turan,28,Turkey,69,MKE Ankaragücü,Left,LB,1300000,12000,1
C. Mandouki,28,France,69,Paris FC,Right,CDM,1200000,5000,1
Shim Dong Woon,30,Korea Republic,69,Pohang Steelers,Right,LM,1300000,5000,1
K. Reichel,33,Germany,69,VfL Osnabrück,Left,LB,725000,7000,1
S. Kurumaya,28,Japan,69,Kawasaki Frontale,Left,LB,1300000,6000,1
B. Blume,28,Denmark,69,Aarhus GF,Right,CM,1400000,7000,1
C. Doucouré,20,Mali,69,Racing Club de Lens,Right,CM,3300000,13000,1
A. Skúlason,33,Iceland,69,KV Oostende,Left,LB,725000,6000,1
Rhayner,29,Brazil,69,Sanfrecce Hiroshima,Right,RM,1400000,6000,1
A. Bell,26,England,69,Blackburn Rovers,Left,LB,1700000,18000,1
M. El-Munir,28,Libya,69,Los Angeles FC,Left,LB,1300000,4000,1
R. Renner,26,Austria,69,LASK Linz,Left,LM,1600000,13000,1
L. Ruiz,24,Colombia,69,UD Logroñés,Right,ST,2800000,6000,1
B. Sosa,22,Croatia,69,VfB Stuttgart,Left,LWB,2700000,9000,1
B. Augustyn,32,Poland,69,Jagiellonia Białystok,Right,CB,900000,5000,1
E. Kara,24,Austria,69,SK Rapid Wien,Right,ST,2100000,13000,1
L. Sadiku,28,Kosovo,69,Kasimpaşa SK,Right,CDM,1200000,7000,1
Antônio Carlos,27,Brazil,69,Orlando City SC,Right,CB,1600000,4000,1
E. Segura,23,Colombia,69,Los Angeles FC,Right,CB,2600000,3000,1
S. Fortes,28,Cape Verde,69,Racing Club de Lens,Right,CB,1400000,17000,1
Jessé Ferdeira,28,Brazil,69,Coritiba,Left,LB,1300000,10000,1
Álex Bermejo,21,Spain,69,CD Tenerife,Right,CAM,3100000,4000,1
A. Struna,29,Slovenia,69,Houston Dynamo,Right,CB,1200000,4000,1
G. Engvall,24,Sweden,69,KV Mechelen,Right,ST,2100000,7000,1
A. Ciranni,24,Belgium,69,Royal Excel Mouscron,Right,RWB,1900000,5000,1
Paulo Vinícius,30,Hungary,69,Nacional de Montevideo,Right,CB,1100000,550,1
D. Frattesi,20,Italy,69,AC Monza,Right,CAM,3300000,2000,1
A. Blanco,32,Mexico,69,Club León,Left,GK,700000,6000,1
Riccieli,21,Brazil,69,Famalicão,Right,CB,2900000,4000,1
M. Koné,28,Ivory Coast,69,KAS Eupen,Right,ST,1400000,7000,1
L. Pico,28,Colombia,69,Junior FC,Right,CDM,1200000,2000,1
Q. Westberg,34,United States,69,Toronto FC,Right,GK,240000,3000,1
J. Bellegarde,22,France,69,RC Strasbourg Alsace,Right,CAM,3100000,11000,1
N. Lima,25,United States,69,San Jose Earthquakes,Right,RWB,1700000,4000,1
M. Batna,30,Morocco,69,Al Fateh,Left,RM,1300000,14000,1
K. Hazard,24,Belgium,69,KSV Cercle Brugge,Right,RM,1800000,6000,1
J. Laporte,26,France,69,FC Lorient,Right,CB,1700000,13000,1
J. Arias,22,Colombia,69,América de Cali,Right,RM,3100000,1000,1
J. van den Bergh,33,Germany,69,Holstein Kiel,Left,LB,725000,9000,1
Tomás Ribeiro,21,Portugal,69,Os Belenenses,Left,CB,3200000,3000,1
B. Kapustka,23,Poland,69,Legia Warszawa,Right,CAM,2200000,6000,1
C. Adjapong,22,Italy,69,Lecce,Right,RM,3100000,14000,1
L. Nmecha,21,Germany,69,RSC Anderlecht,Right,ST,3200000,36000,1
K. Ramírez,26,Uruguay,69,Querétaro,Left,LM,1600000,6000,1
B. Özcan,22,Turkey,69,Medipol Başakşehir FK,Right,CAM,2800000,14000,1
S. Szymański,21,Poland,69,,Left,CAM,0,0,1
João Moutinho,22,Portugal,69,Orlando City SC,Right,LB,3000000,3000,1
M. Caillard,26,France,69,FC Metz,Right,GK,1400000,7000,1
W. Mendieta,31,Paraguay,69,FC Juárez,Right,CAM,1200000,7000,1
F. Monteseirín,25,Argentina,69,Club Atlético Tigre,Right,CB,2500000,7000,1
J. Carreño,23,Chile,69,Oriente Petrolero,Right,RM,3100000,500,1
P. Erras,25,Germany,69,SV Werder Bremen,Right,CDM,1900000,11000,1
J. Peters,33,Netherlands,69,Willem II,Left,CB,675000,5000,1
O. Şişmanoğlu,30,Germany,69,BB Erzurumspor,Right,ST,1400000,8000,1
S. Tibbling,25,Sweden,69,FC Emmen,Right,CM,1800000,4000,1
A. Zaldívar,26,Mexico,69,Guadalajara,Left,ST,1700000,22000,1
M. Robinson,23,United States,69,Atlanta United,Right,CB,2900000,3000,1
Y. Njie,26,Gambia,69,Boavista FC,Right,ST,1700000,6000,1
U. Bonnet,26,France,69,Rodez Aveyron Football,Right,ST,1700000,3000,1
Paulinho,25,Brazil,69,FC Midtjylland,Left,LB,1900000,11000,1
L. Kastrati,21,Kosovo,69,Dinamo Zagreb,Right,RM,3100000,500,1
C. Avevor,28,Germany,69,FC St. Pauli,Right,CB,1300000,9000,1
B. Romero,29,Argentina,69,Defensa y Justicia,Right,ST,1400000,10000,1
M. Zoch,22,Bolivia,69,Oriente Petrolero,Right,RM,3400000,500,1
N. Mantl,20,Germany,69,SpVgg Unterhaching,Right,GK,2900000,2000,1
C. Comara,26,Ivory Coast,69,,Left,CB,0,0,1
R. Aguirre,25,Uruguay,69,LDU Quito,Left,ST,1900000,500,1
O. Azubuike,23,Nigeria,69,Medipol Başakşehir FK,Right,CDM,2900000,13000,1
J. Rodríguez,30,Argentina,69,FC Botoşani,Right,CM,1300000,6000,1
A. Montero,26,Venezuela,69,Coquimbo Unido,Right,RM,1600000,2000,1
P. Abrahamsson,31,Sweden,69,BK Häcken,Right,GK,750000,2000,1
A. Barberis,26,Italy,69,AC Monza,Right,CM,1800000,2000,1
S. Rochet,27,Uruguay,69,Nacional de Montevideo,Right,GK,1500000,500,1
D. Lemos,31,Argentina,69,Patronato,Right,CB,975000,7000,1
J. Bataille,21,Belgium,69,KV Oostende,Right,RM,3000000,4000,1
L. González,29,Venezuela,69,Junior FC,Right,RW,1400000,3000,1
F. Honorat,23,France,69,Stade Brestois 29,Right,RW,2200000,8000,1
A. Muric,21,Kosovo,69,Girona FC,Right,GK,2700000,21000,1
Pedro Díaz,22,Spain,69,Real Sporting de Gijón,Right,CAM,3000000,4000,1
K. Adeyemi,18,Germany,69,FC Red Bull Salzburg,Left,LW,3600000,6000,1
D. Petrić,32,Serbia,69,FC Nantes,Right,GK,700000,9000,1
M. Aké,19,France,69,Olympique de Marseille,Right,LW,3000000,11000,1
O. Jansson,29,Sweden,69,Örebro SK,Right,GK,1100000,2000,1
Jeong Seung Hyun,26,Korea Republic,69,Ulsan Hyundai FC,Right,CB,1700000,4000,1
N. Stojiljković,27,Serbia,69,Farense,Right,ST,1500000,5000,1
L. Malagón,23,Mexico,69,Club Necaxa,Right,GK,2700000,4000,1
B. O'Neill,26,Australia,69,Pohang Steelers,Right,CM,1800000,5000,1
J. Pi,26,France,69,Stade Malherbe Caen,Right,CM,1600000,5000,1
M. Ingvartsen,24,Denmark,69,1. FC Union Berlin,Left,ST,2000000,13000,1
Júlio César,25,Brazil,69,CD Nacional,Right,CB,1800000,5000,1
M. Frantz,33,Germany,69,Hannover 96,Left,CM,850000,12000,2
M. Delgado,25,United States,69,Toronto FC,Right,CDM,1600000,4000,1
L. Acosta,25,Argentina,69,Club Atlético Lanús,Right,GK,1700000,6000,1
João Gerster,24,Brazil,69,Oceânico FC,Right,RB,1500000,8000,1
F. Öztürk,33,Turkey,69,Galatasaray SK,Right,GK,450000,19000,1
P. Velázquez,33,Paraguay,69,Club Atlético Banfield,Left,ST,900000,8000,1
D. Doekhi,22,Netherlands,69,Vitesse,Right,CB,2600000,7000,1
M. Lysov,22,Russia,69,Lokomotiv Moscow,Left,LB,2000000,16000,1
R. Pich,31,Slovakia,69,Śląsk Wrocław,Right,RM,1200000,5000,1
T. Handwerker,22,Germany,69,1. FC Nürnberg,Left,LB,3000000,5000,1
Huang Bowen,32,China PR,69,Guangzhou Evergrande Taobao FC,Right,CDM,925000,10000,1
J. Bellingham,17,England,69,Borussia Dortmund,Right,CAM,3500000,3000,1
D. Mancilla,29,Bolivia,69,Nacional Potosí,Left,LB,1200000,500,1
Ataúlfo Anjos,28,Brazil,69,Coritiba,Right,RB,1300000,10000,1
D. Sallói,23,Hungary,69,Sporting Kansas City,Right,ST,2100000,4000,1
C. Benavídez,22,Uruguay,69,Independiente,Right,CDM,3000000,7000,1
E. Hansson,22,Sweden,69,Fortuna Sittard,Right,RM,2800000,6000,1
Ukra,32,Portugal,69,Santa Clara,Right,RW,1100000,4000,1
I. Cristea,25,Romania,69,FCSB (Steaua),Right,CB,1800000,7000,1
C. Knasmüllner,28,Austria,69,SK Rapid Wien,Right,RM,1400000,14000,1
G. Nyamsi,23,France,69,Stade Rennais FC,Right,CB,2900000,15000,1
N. McGinn,32,Northern Ireland,69,Aberdeen,Right,LM,1100000,5000,1
Sergi Samper,25,Spain,69,Vissel Kobe,Right,CDM,1700000,5000,1
B. Johnson,33,England,69,Blackburn Rovers,Left,CB,700000,18000,1
G. Magnani,24,Italy,69,Hellas Verona,Left,CB,2600000,11000,1
V. Loroña,21,Mexico,69,Club Tijuana,Right,RB,3000000,7000,1
Vitao,20,Brazil,69,Shakhtar Donetsk,Right,CB,3200000,500,1
G. Hall,28,England,69,Middlesbrough,Right,CB,1300000,9000,1
M. Sušić,29,Bosnia Herzegovina,69,CFR Cluj,Right,RB,1200000,7000,1
Matheus Pereira,22,Brazil,69,FC Barcelona,Left,CAM,3100000,44000,1
I. Provedel,26,Italy,69,Spezia,Right,GK,1500000,7000,1
J. Fuchs,22,Cameroon,69,Dundee United,Right,CDM,3100000,4000,1
M. Saymak,27,Netherlands,69,PEC Zwolle,Right,CAM,1600000,6000,1
F. Dimarco,22,Italy,69,Hellas Verona,Left,LB,3000000,27000,1
Rodri Tarín,23,Spain,69,CD Leganés,Right,CB,2900000,5000,1
J. Gastien,32,France,69,Clermont Foot 63,Right,CDM,925000,4000,1
L. Quintana,28,Mexico,69,U.N.A.M.,Right,CB,1300000,7000,1
R. Arias,27,Uruguay,69,San Lorenzo de Almagro,Right,CB,1300000,9000,1
M. Roberts,29,England,69,Birmingham City,Right,CB,1200000,9000,1
N. Morgantini,25,Argentina,69,Club Atlético Lanús,Right,RB,1700000,8000,1
L. Garritano,26,Italy,69,Chievo Verona,Right,CAM,1800000,2000,1
E. Shamir,25,Israel,69,Standard de Liège,Right,CM,1800000,8000,1
A. Ismajli,23,Albania,69,Spezia,Right,CB,2000000,8000,1
